date,count
2017-04-23,5
2017-05-04,5
2017-05-18,2
2017-05-19,2
2017-05-24,6
2017-05-25,1
2017-06-07,7
2017-06-10,15
2017-06-11,3
2017-06-12,4
2017-06-13,5
2017-06-16,2
2017-06-21,13
2017-06-22,1
2017-06-24,15
2017-06-26,14
2017-06-30,5
2017-07-04,3
2017-07-11,3
2017-07-13,5
2017-07-28,2
2017-08-02,3
2017-08-04,2
2017-08-09,12
2017-09-14,36
2017-09-16,8
2017-09-17,1
2017-09-20,10
2017-09-21,17
2017-09-24,7
2017-09-25,12
2017-09-26,5
2017-09-27,3
2017-09-28,6
2017-09-29,2
2017-10-08,1
2017-10-25,7
2017-10-26,51
2017-10-27,1
2017-10-30,3
2017-11-01,2
2017-11-03,1
2017-11-04,2
2017-11-05,1
2017-11-09,12
2017-11-13,10
2017-11-14,4
2017-11-15,8
2017-11-20,13
2017-11-21,7
2017-11-22,1
2017-11-24,3
2017-11-27,4
2017-11-28,21
2017-11-29,4
2017-11-30,3
2017-12-01,5
2017-12-04,19
2017-12-06,8
2017-12-07,42
2017-12-08,7
2017-12-09,6
2017-12-11,1
2017-12-12,5
2017-12-13,23
2017-12-14,3
2017-12-15,1
2017-12-18,2
2017-12-20,9
2017-12-21,20
2017-12-22,13
2017-12-27,4
2017-12-28,15
2018-01-01,3
2018-01-02,11
2018-01-03,8
2018-01-08,12
2018-01-09,1
2018-01-10,15
2018-01-11,20
2018-01-12,9
2018-01-15,8
2018-01-19,8
2018-01-20,67
2018-01-21,19
2018-01-22,27
2018-01-23,16
2018-01-24,12
2018-01-25,66
2018-01-26,69
2018-01-27,16
2018-01-28,27
2018-01-29,45
2018-01-30,38
2018-01-31,29
2018-02-01,16
2018-02-02,44
2018-02-03,83
2018-02-04,19
2018-02-05,50
2018-02-06,40
2018-02-07,39
2018-02-08,11
2018-02-09,62
2018-02-10,58
2018-02-11,33
2018-02-12,41
2018-02-13,62
2018-02-14,30
2018-02-15,70
2018-02-16,5
2018-02-17,37
2018-02-18,25
2018-02-19,33
2018-02-20,16
2018-02-21,3
2018-02-22,25
2018-02-23,40
2018-02-24,26
2018-02-25,11
2018-02-26,32
2018-02-27,51
2018-02-28,67
2018-03-01,56
2018-03-02,36
2018-03-03,21
2018-03-04,26
2018-03-05,12
2018-03-06,44
2018-03-07,23
2018-03-08,21
2018-03-11,18
2018-03-12,44
2018-03-13,19
2018-03-14,9
2018-03-15,2
2018-03-18,10
2018-03-19,27
2018-03-20,38
2018-03-21,61
2018-03-22,84
2018-03-23,77
2018-03-24,21
2018-03-25,59
2018-03-26,29
2018-03-27,34
2018-04-02,1
2018-04-04,3
2018-04-05,34
2018-04-06,25
2018-04-07,14
2018-04-08,1
2018-04-09,40
2018-04-10,46
2018-04-11,6
2018-04-12,30
2018-04-13,35
2018-04-14,25
2018-04-16,52
2018-04-17,19
2018-04-18,45
2018-04-19,89
2018-04-20,50
2018-04-21,44
2018-04-22,14
2018-04-23,53
2018-04-24,52
2018-04-25,77
2018-04-26,9
2018-04-27,51
2018-04-28,24
2018-04-29,29
2018-04-30,32
2018-05-01,94
2018-05-02,1
2018-05-03,4
2018-05-04,34
2018-05-05,61
2018-05-06,22
2018-05-07,15
2018-05-08,48
2018-05-09,76
2018-05-10,40
2018-05-11,22
2018-05-12,56
2018-05-13,14
2018-05-14,157
2018-05-15,32
2018-05-16,15
2018-05-17,55
2018-05-18,22
2018-05-19,20
2018-05-20,37
2018-05-21,91
2018-05-22,72
2018-05-23,64
2018-05-24,81
2018-05-25,12
2018-05-26,34
2018-05-27,44
2018-05-28,111
2018-05-29,82
2018-05-30,81
2018-05-31,51
2018-06-01,37
2018-06-02,82
2018-06-03,75
2018-06-04,47
2018-06-05,1
2018-06-06,25
2018-06-07,127
2018-06-08,85
2018-06-09,88
2018-06-10,32
2018-06-11,47
2018-06-12,237
2018-06-13,123
2018-06-14,70
2018-06-15,68
2018-06-16,24
2018-06-17,83
2018-06-18,115
2018-06-19,54
2018-06-20,119
2018-06-21,73
2018-06-22,70
2018-06-23,15
2018-06-24,53
2018-06-25,23
2018-06-26,96
2018-06-28,1
2018-06-29,3
2018-06-30,7
2018-07-01,13
2018-07-02,108
2018-07-03,71
2018-07-04,55
2018-07-05,125
2018-07-06,93
2018-07-07,136
2018-07-08,94
2018-07-09,99
2018-07-10,79
2018-07-11,80
2018-07-12,10
2018-07-13,12
2018-07-15,3
2018-07-16,51
2018-07-17,61
2018-07-18,30
2018-07-19,113
2018-07-20,77
2018-07-21,54
2018-07-22,47
2018-07-23,33
2018-07-24,99
2018-07-25,72
2018-07-26,45
2018-07-27,68
2018-07-28,46
2018-07-29,86
2018-07-30,18
2018-07-31,123
2018-08-01,151
2018-08-02,27
2018-08-03,91
2018-08-04,55
2018-08-05,37
2018-08-06,63
2018-08-07,71
2018-08-08,76
2018-08-09,67
2018-08-10,68
2018-08-11,26
2018-08-12,58
2018-08-13,61
2018-08-14,39
2018-08-15,59
2018-08-16,44
2018-08-17,26
2018-08-18,10
2018-08-19,172
2018-08-20,41
2018-08-21,47
2018-08-22,38
2018-08-23,81
2018-08-24,44
2018-08-26,3
2018-08-27,59
2018-08-28,54
2018-08-29,79
2018-08-30,85
2018-08-31,46
2018-09-01,40
2018-09-02,52
2018-09-03,42
2018-09-04,35
2018-09-05,78
2018-09-06,9
2018-09-07,68
2018-09-08,42
2018-09-09,18
2018-09-10,43
2018-09-11,14
2018-09-12,55
2018-09-13,48
2018-09-14,21
2018-09-15,1
2018-09-16,12
2018-09-17,23
2018-09-18,68
2018-09-19,45
2018-09-20,22
2018-09-21,11
2018-09-22,2
2018-09-23,51
2018-09-24,41
2018-09-25,76
2018-09-26,29
2018-09-27,38
2018-09-28,38
2018-09-29,54
2018-09-30,40
2018-10-01,37
2018-10-02,24
2018-10-03,17
2018-10-04,107
2018-10-05,15
2018-10-06,55
2018-10-07,5
2018-10-08,46
2018-10-09,30
2018-10-10,8
